"mfcomb1"	"mfcomb2"
"m2_f2"	"m1_f1"
"m3_f2"	"m1_f1"
"m4_f2"	"m1_f1"
"m5_f2"	"m1_f1"
"m6_f2"	"m1_f1"
"m7_f2"	"m1_f1"
"m2_f3"	"m1_f1"
"m3_f3"	"m1_f1"
"m4_f3"	"m1_f1"
"m5_f3"	"m1_f1"
"m6_f3"	"m1_f1"
"m7_f3"	"m1_f1"
"m2_f4"	"m1_f1"
"m3_f4"	"m1_f1"
"m4_f4"	"m1_f1"
"m5_f4"	"m1_f1"
"m6_f4"	"m1_f1"
"m7_f4"	"m1_f1"
"m2_f5"	"m1_f1"
"m3_f5"	"m1_f1"
"m4_f5"	"m1_f1"
"m5_f5"	"m1_f1"
"m6_f5"	"m1_f1"
"m7_f5"	"m1_f1"
"m2_f6"	"m1_f1"
"m3_f6"	"m1_f1"
"m4_f6"	"m1_f1"
"m5_f6"	"m1_f1"
"m6_f6"	"m1_f1"
"m7_f6"	"m1_f1"
"m2_f7"	"m1_f1"
"m3_f7"	"m1_f1"
"m4_f7"	"m1_f1"
"m5_f7"	"m1_f1"
"m6_f7"	"m1_f1"
"m7_f7"	"m1_f1"
"m1_f2"	"m2_f1"
"m3_f2"	"m2_f1"
"m4_f2"	"m2_f1"
"m5_f2"	"m2_f1"
"m6_f2"	"m2_f1"
"m7_f2"	"m2_f1"
"m1_f3"	"m2_f1"
"m3_f3"	"m2_f1"
"m4_f3"	"m2_f1"
"m5_f3"	"m2_f1"
"m6_f3"	"m2_f1"
"m7_f3"	"m2_f1"
"m1_f4"	"m2_f1"
"m3_f4"	"m2_f1"
"m4_f4"	"m2_f1"
"m5_f4"	"m2_f1"
"m6_f4"	"m2_f1"
"m7_f4"	"m2_f1"
"m1_f5"	"m2_f1"
"m3_f5"	"m2_f1"
"m4_f5"	"m2_f1"
"m5_f5"	"m2_f1"
"m6_f5"	"m2_f1"
"m7_f5"	"m2_f1"
"m1_f6"	"m2_f1"
"m3_f6"	"m2_f1"
"m4_f6"	"m2_f1"
"m5_f6"	"m2_f1"
"m6_f6"	"m2_f1"
"m7_f6"	"m2_f1"
"m1_f7"	"m2_f1"
"m3_f7"	"m2_f1"
"m4_f7"	"m2_f1"
"m5_f7"	"m2_f1"
"m6_f7"	"m2_f1"
"m7_f7"	"m2_f1"
"m1_f2"	"m3_f1"
"m2_f2"	"m3_f1"
"m4_f2"	"m3_f1"
"m5_f2"	"m3_f1"
"m6_f2"	"m3_f1"
"m7_f2"	"m3_f1"
"m1_f3"	"m3_f1"
"m2_f3"	"m3_f1"
"m4_f3"	"m3_f1"
"m5_f3"	"m3_f1"
"m6_f3"	"m3_f1"
"m7_f3"	"m3_f1"
"m1_f4"	"m3_f1"
"m2_f4"	"m3_f1"
"m4_f4"	"m3_f1"
"m5_f4"	"m3_f1"
"m6_f4"	"m3_f1"
"m7_f4"	"m3_f1"
"m1_f5"	"m3_f1"
"m2_f5"	"m3_f1"
"m4_f5"	"m3_f1"
"m5_f5"	"m3_f1"
"m6_f5"	"m3_f1"
"m7_f5"	"m3_f1"
"m1_f6"	"m3_f1"
"m2_f6"	"m3_f1"
"m4_f6"	"m3_f1"
"m5_f6"	"m3_f1"
"m6_f6"	"m3_f1"
"m7_f6"	"m3_f1"
"m1_f7"	"m3_f1"
"m2_f7"	"m3_f1"
"m4_f7"	"m3_f1"
"m5_f7"	"m3_f1"
"m6_f7"	"m3_f1"
"m7_f7"	"m3_f1"
"m1_f2"	"m4_f1"
"m2_f2"	"m4_f1"
"m3_f2"	"m4_f1"
"m5_f2"	"m4_f1"
"m6_f2"	"m4_f1"
"m7_f2"	"m4_f1"
"m1_f3"	"m4_f1"
"m2_f3"	"m4_f1"
"m3_f3"	"m4_f1"
"m5_f3"	"m4_f1"
"m6_f3"	"m4_f1"
"m7_f3"	"m4_f1"
"m1_f4"	"m4_f1"
"m2_f4"	"m4_f1"
"m3_f4"	"m4_f1"
"m5_f4"	"m4_f1"
"m6_f4"	"m4_f1"
"m7_f4"	"m4_f1"
"m1_f5"	"m4_f1"
"m2_f5"	"m4_f1"
"m3_f5"	"m4_f1"
"m5_f5"	"m4_f1"
"m6_f5"	"m4_f1"
"m7_f5"	"m4_f1"
"m1_f6"	"m4_f1"
"m2_f6"	"m4_f1"
"m3_f6"	"m4_f1"
"m5_f6"	"m4_f1"
"m6_f6"	"m4_f1"
"m7_f6"	"m4_f1"
"m1_f7"	"m4_f1"
"m2_f7"	"m4_f1"
"m3_f7"	"m4_f1"
"m5_f7"	"m4_f1"
"m6_f7"	"m4_f1"
"m7_f7"	"m4_f1"
"m1_f2"	"m5_f1"
"m2_f2"	"m5_f1"
"m3_f2"	"m5_f1"
"m4_f2"	"m5_f1"
"m6_f2"	"m5_f1"
"m7_f2"	"m5_f1"
"m1_f3"	"m5_f1"
"m2_f3"	"m5_f1"
"m3_f3"	"m5_f1"
"m4_f3"	"m5_f1"
"m6_f3"	"m5_f1"
"m7_f3"	"m5_f1"
"m1_f4"	"m5_f1"
"m2_f4"	"m5_f1"
"m3_f4"	"m5_f1"
"m4_f4"	"m5_f1"
"m6_f4"	"m5_f1"
"m7_f4"	"m5_f1"
"m1_f5"	"m5_f1"
"m2_f5"	"m5_f1"
"m3_f5"	"m5_f1"
"m4_f5"	"m5_f1"
"m6_f5"	"m5_f1"
"m7_f5"	"m5_f1"
"m1_f6"	"m5_f1"
"m2_f6"	"m5_f1"
"m3_f6"	"m5_f1"
"m4_f6"	"m5_f1"
"m6_f6"	"m5_f1"
"m7_f6"	"m5_f1"
"m1_f7"	"m5_f1"
"m2_f7"	"m5_f1"
"m3_f7"	"m5_f1"
"m4_f7"	"m5_f1"
"m6_f7"	"m5_f1"
"m7_f7"	"m5_f1"
"m1_f2"	"m6_f1"
"m2_f2"	"m6_f1"
"m3_f2"	"m6_f1"
"m4_f2"	"m6_f1"
"m5_f2"	"m6_f1"
"m7_f2"	"m6_f1"
"m1_f3"	"m6_f1"
"m2_f3"	"m6_f1"
"m3_f3"	"m6_f1"
"m4_f3"	"m6_f1"
"m5_f3"	"m6_f1"
"m7_f3"	"m6_f1"
"m1_f4"	"m6_f1"
"m2_f4"	"m6_f1"
"m3_f4"	"m6_f1"
"m4_f4"	"m6_f1"
"m5_f4"	"m6_f1"
"m7_f4"	"m6_f1"
"m1_f5"	"m6_f1"
"m2_f5"	"m6_f1"
"m3_f5"	"m6_f1"
"m4_f5"	"m6_f1"
"m5_f5"	"m6_f1"
"m7_f5"	"m6_f1"
"m1_f6"	"m6_f1"
"m2_f6"	"m6_f1"
"m3_f6"	"m6_f1"
"m4_f6"	"m6_f1"
"m5_f6"	"m6_f1"
"m7_f6"	"m6_f1"
"m1_f7"	"m6_f1"
"m2_f7"	"m6_f1"
"m3_f7"	"m6_f1"
"m4_f7"	"m6_f1"
"m5_f7"	"m6_f1"
"m7_f7"	"m6_f1"
"m1_f2"	"m7_f1"
"m2_f2"	"m7_f1"
"m3_f2"	"m7_f1"
"m4_f2"	"m7_f1"
"m5_f2"	"m7_f1"
"m6_f2"	"m7_f1"
"m1_f3"	"m7_f1"
"m2_f3"	"m7_f1"
"m3_f3"	"m7_f1"
"m4_f3"	"m7_f1"
"m5_f3"	"m7_f1"
"m6_f3"	"m7_f1"
"m1_f4"	"m7_f1"
"m2_f4"	"m7_f1"
"m3_f4"	"m7_f1"
"m4_f4"	"m7_f1"
"m5_f4"	"m7_f1"
"m6_f4"	"m7_f1"
"m1_f5"	"m7_f1"
"m2_f5"	"m7_f1"
"m3_f5"	"m7_f1"
"m4_f5"	"m7_f1"
"m5_f5"	"m7_f1"
"m6_f5"	"m7_f1"
"m1_f6"	"m7_f1"
"m2_f6"	"m7_f1"
"m3_f6"	"m7_f1"
"m4_f6"	"m7_f1"
"m5_f6"	"m7_f1"
"m6_f6"	"m7_f1"
"m1_f7"	"m7_f1"
"m2_f7"	"m7_f1"
"m3_f7"	"m7_f1"
"m4_f7"	"m7_f1"
"m5_f7"	"m7_f1"
"m6_f7"	"m7_f1"
"m2_f3"	"m1_f2"
"m3_f3"	"m1_f2"
"m4_f3"	"m1_f2"
"m5_f3"	"m1_f2"
"m6_f3"	"m1_f2"
"m7_f3"	"m1_f2"
"m2_f4"	"m1_f2"
"m3_f4"	"m1_f2"
"m4_f4"	"m1_f2"
"m5_f4"	"m1_f2"
"m6_f4"	"m1_f2"
"m7_f4"	"m1_f2"
"m2_f5"	"m1_f2"
"m3_f5"	"m1_f2"
"m4_f5"	"m1_f2"
"m5_f5"	"m1_f2"
"m6_f5"	"m1_f2"
"m7_f5"	"m1_f2"
"m2_f6"	"m1_f2"
"m3_f6"	"m1_f2"
"m4_f6"	"m1_f2"
"m5_f6"	"m1_f2"
"m6_f6"	"m1_f2"
"m7_f6"	"m1_f2"
"m2_f7"	"m1_f2"
"m3_f7"	"m1_f2"
"m4_f7"	"m1_f2"
"m5_f7"	"m1_f2"
"m6_f7"	"m1_f2"
"m7_f7"	"m1_f2"
"m1_f3"	"m2_f2"
"m3_f3"	"m2_f2"
"m4_f3"	"m2_f2"
"m5_f3"	"m2_f2"
"m6_f3"	"m2_f2"
"m7_f3"	"m2_f2"
"m1_f4"	"m2_f2"
"m3_f4"	"m2_f2"
"m4_f4"	"m2_f2"
"m5_f4"	"m2_f2"
"m6_f4"	"m2_f2"
"m7_f4"	"m2_f2"
"m1_f5"	"m2_f2"
"m3_f5"	"m2_f2"
"m4_f5"	"m2_f2"
"m5_f5"	"m2_f2"
"m6_f5"	"m2_f2"
"m7_f5"	"m2_f2"
"m1_f6"	"m2_f2"
"m3_f6"	"m2_f2"
"m4_f6"	"m2_f2"
"m5_f6"	"m2_f2"
"m6_f6"	"m2_f2"
"m7_f6"	"m2_f2"
"m1_f7"	"m2_f2"
"m3_f7"	"m2_f2"
"m4_f7"	"m2_f2"
"m5_f7"	"m2_f2"
"m6_f7"	"m2_f2"
"m7_f7"	"m2_f2"
"m1_f3"	"m3_f2"
"m2_f3"	"m3_f2"
"m4_f3"	"m3_f2"
"m5_f3"	"m3_f2"
"m6_f3"	"m3_f2"
"m7_f3"	"m3_f2"
"m1_f4"	"m3_f2"
"m2_f4"	"m3_f2"
"m4_f4"	"m3_f2"
"m5_f4"	"m3_f2"
"m6_f4"	"m3_f2"
"m7_f4"	"m3_f2"
"m1_f5"	"m3_f2"
"m2_f5"	"m3_f2"
"m4_f5"	"m3_f2"
"m5_f5"	"m3_f2"
"m6_f5"	"m3_f2"
"m7_f5"	"m3_f2"
"m1_f6"	"m3_f2"
"m2_f6"	"m3_f2"
"m4_f6"	"m3_f2"
"m5_f6"	"m3_f2"
"m6_f6"	"m3_f2"
"m7_f6"	"m3_f2"
"m1_f7"	"m3_f2"
"m2_f7"	"m3_f2"
"m4_f7"	"m3_f2"
"m5_f7"	"m3_f2"
"m6_f7"	"m3_f2"
"m7_f7"	"m3_f2"
"m1_f3"	"m4_f2"
"m2_f3"	"m4_f2"
"m3_f3"	"m4_f2"
"m5_f3"	"m4_f2"
"m6_f3"	"m4_f2"
"m7_f3"	"m4_f2"
"m1_f4"	"m4_f2"
"m2_f4"	"m4_f2"
"m3_f4"	"m4_f2"
"m5_f4"	"m4_f2"
"m6_f4"	"m4_f2"
"m7_f4"	"m4_f2"
"m1_f5"	"m4_f2"
"m2_f5"	"m4_f2"
"m3_f5"	"m4_f2"
"m5_f5"	"m4_f2"
"m6_f5"	"m4_f2"
"m7_f5"	"m4_f2"
"m1_f6"	"m4_f2"
"m2_f6"	"m4_f2"
"m3_f6"	"m4_f2"
"m5_f6"	"m4_f2"
"m6_f6"	"m4_f2"
"m7_f6"	"m4_f2"
"m1_f7"	"m4_f2"
"m2_f7"	"m4_f2"
"m3_f7"	"m4_f2"
"m5_f7"	"m4_f2"
"m6_f7"	"m4_f2"
"m7_f7"	"m4_f2"
"m1_f3"	"m5_f2"
"m2_f3"	"m5_f2"
"m3_f3"	"m5_f2"
"m4_f3"	"m5_f2"
"m6_f3"	"m5_f2"
"m7_f3"	"m5_f2"
"m1_f4"	"m5_f2"
"m2_f4"	"m5_f2"
"m3_f4"	"m5_f2"
"m4_f4"	"m5_f2"
"m6_f4"	"m5_f2"
"m7_f4"	"m5_f2"
"m1_f5"	"m5_f2"
"m2_f5"	"m5_f2"
"m3_f5"	"m5_f2"
"m4_f5"	"m5_f2"
"m6_f5"	"m5_f2"
"m7_f5"	"m5_f2"
"m1_f6"	"m5_f2"
"m2_f6"	"m5_f2"
"m3_f6"	"m5_f2"
"m4_f6"	"m5_f2"
"m6_f6"	"m5_f2"
"m7_f6"	"m5_f2"
"m1_f7"	"m5_f2"
"m2_f7"	"m5_f2"
"m3_f7"	"m5_f2"
"m4_f7"	"m5_f2"
"m6_f7"	"m5_f2"
"m7_f7"	"m5_f2"
"m1_f3"	"m6_f2"
"m2_f3"	"m6_f2"
"m3_f3"	"m6_f2"
"m4_f3"	"m6_f2"
"m5_f3"	"m6_f2"
"m7_f3"	"m6_f2"
"m1_f4"	"m6_f2"
"m2_f4"	"m6_f2"
"m3_f4"	"m6_f2"
"m4_f4"	"m6_f2"
"m5_f4"	"m6_f2"
"m7_f4"	"m6_f2"
"m1_f5"	"m6_f2"
"m2_f5"	"m6_f2"
"m3_f5"	"m6_f2"
"m4_f5"	"m6_f2"
"m5_f5"	"m6_f2"
"m7_f5"	"m6_f2"
"m1_f6"	"m6_f2"
"m2_f6"	"m6_f2"
"m3_f6"	"m6_f2"
"m4_f6"	"m6_f2"
"m5_f6"	"m6_f2"
"m7_f6"	"m6_f2"
"m1_f7"	"m6_f2"
"m2_f7"	"m6_f2"
"m3_f7"	"m6_f2"
"m4_f7"	"m6_f2"
"m5_f7"	"m6_f2"
"m7_f7"	"m6_f2"
"m1_f3"	"m7_f2"
"m2_f3"	"m7_f2"
"m3_f3"	"m7_f2"
"m4_f3"	"m7_f2"
"m5_f3"	"m7_f2"
"m6_f3"	"m7_f2"
"m1_f4"	"m7_f2"
"m2_f4"	"m7_f2"
